00:01:26 |j| Slork
00:02:20 |l| Slork
00:07:42 |j|~Ransei
19:29:46 |c|+Mistress Midnight|Finally back on this alt
19:30:25 |j|@Ebhainia
19:31:02 |c|+Mistress Midnight|http://dragonheaven.psim.us/battle-gen7franticfusions-22260
19:33:23 |c|+Mistress Midnight|http://dragonheaven.psim.us/battle-gen7franticfusions-22261
19:33:30 |c|+Mistress Midnight|here ebhania
19:33:39 |c|@Ebhainia|I'm watching
19:35:36 |l| shwb
19:37:58 |j| Drag0nMasterZinnia
19:38:00 |l|+smellslikememe
19:38:34 |c|+Mistress Midnight|I can do the same for special
19:39:09 |c|@Ebhainia|oh ?
19:39:14 |c|+Mistress Midnight|yeah
19:39:16 |c|@Ebhainia|I mean
19:39:18 |c|+Mistress Midnight|I may not be able to do cap fusions anymore
19:39:31 |c|+Mistress Midnight|So no aurumoth xurkitre no guard zap cannon beast boost quiver dance fusion
19:39:33 |c|+Mistress Midnight|Which is op
19:39:34 |c|@Ebhainia|everything with P-Z in special works perfectly lol
19:39:40 |c|@Ebhainia|yeah I guess
19:39:47 |c|+Mistress Midnight|But i can still do this http://dragonheaven.psim.us/battle-gen7franticfusions-22262
19:43:16 |l| Drag0nMasterZinnia
19:44:19 |c|@Ebhainia|no in fact
19:44:21 |c|@Ebhainia|I dont care
19:44:22 |c|+Mistress Midnight|no?
19:44:31 |c|+Mistress Midnight|well if so
19:44:33 |c|+Mistress Midnight|I will do this
19:44:36 |c|@Ebhainia|nope it's a glick
19:44:39 |c|+Mistress Midnight|ok
19:44:39 |c|@Ebhainia|*a glitch
19:44:47 |c|@Ebhainia|but Spandan is busy now
19:44:50 |c|@Ebhainia|so
19:45:15 |c|@Ebhainia|anyway, it's not very important
19:46:27 |c|+Mistress Midnight|yeah it crashes
19:46:42 |j| shwb
19:46:44 |l| shwb
19:47:01 |j| shwb
19:47:15 |c|+Mistress Midnight|i have an op thing 
19:47:23 |l| shwb
19:47:28 |c|@Ebhainia|show show show
19:47:29 |c|+Mistress Midnight|ebhania
19:47:30 |c|+Mistress Midnight|ok
19:47:36 |l|#Snaquaza
19:48:37 |c|+Mistress Midnight|http://dragonheaven.psim.us/battle-gen7franticfusions-22264
19:48:39 |c|+Mistress Midnight|just a test
19:48:41 |c|+Mistress Midnight|May fail
19:48:55 |c|+Mistress Midnight|k ebhania
19:48:57 |c|+Mistress Midnight|just join that link
19:50:59 |c|+Mistress Midnight|http://dragonheaven.psim.us/battle-gen7franticfusions-22265
19:51:01 |c|+Mistress Midnight|here ebhania
19:51:31 |l| Le'Salle
19:51:34 |j| Le'Salle
19:52:04 |l| Le'Salle
19:55:07 |c|@Ebhainia|!fuse mimikyu, linoone
19:55:07 |html|<div class="infobox"><b>Stats</b>: 66/80/70/50/83/98<br /><b>BST</b>:447<br /><b>Type:</b> Ghost/Normal<br /><b>Abilities</b>: Disguise + Pickup<br /><b>Weight</b>: 16.6 kg</div>
19:55:12 |c|+Mistress Midnight|ive done that too
19:55:14 |c|+Mistress Midnight|but
19:55:17 |c|+Mistress Midnight|after it gets hit
19:55:19 |c|+Mistress Midnight|No stab extreme speed
19:55:23 |c|+Mistress Midnight|Although you do get belly drum
19:55:25 |c|+Mistress Midnight|You can also try this
19:55:29 |c|+Mistress Midnight|But all these things are slow
19:55:32 |c|+Mistress Midnight|After mimikyu gets hits
19:55:38 |c|+Mistress Midnight|because after a pokem nchanges form
19:55:40 |c|@Ebhainia|it's enough even without stab unfortunately
19:55:41 |c|+Mistress Midnight|Excluding mega evo
19:55:49 |c|+Mistress Midnight|Their stats go back to normal of that form
19:55:58 |c|+Mistress Midnight|!fuse mimikyu, darmanitan
19:55:58 |html|<div class="infobox"><b>Stats</b>: 80/115/67/40/80/95<br /><b>BST</b>:477<br /><b>Type:</b> Ghost/Fire<br /><b>Abilities</b>: Disguise + Sheer Force<br /><b>Weight</b>: 46.800000000000004 kg</div>
19:56:17 |c|+Mistress Midnight|-crossevo electabuzz, lunala
19:56:17 |c|*BatterBotto| __Electabuzz__ ===> __Lunala__: Stats:159/167/15/203/61/165 Abilities:Shadow Shield Type:Electric/Ghost
19:56:18 |c|+Mistress Midnight|oops
19:56:25 |c|+Mistress Midnight|but those stats are op lol
19:56:45 |c|+Mistress Midnight|http://dragonheaven.psim.us/battle-gen7franticfusions-22266
19:56:48 |c|+Mistress Midnight|different item
19:56:50 |c|+Mistress Midnight|last longer
19:58:04 |l| firebreathingyoshi
20:09:32 |j| anon171
20:09:49 |l| anon171
20:13:31 |j| shwb
20:13:56 |c|+Mistress Midnight|rip everyone left
20:16:02 |c|+Mistress Midnight|http://dragonheaven.psim.us/battle-gen7franticfusions-22268
20:17:02 |j| RespectableAfrican
20:17:37 |l| RespectableAfrican
20:17:42 |userstats|total:13|guests:3| :7|+:1|$:0|%:1|@:1|*:2|★:0|#:0|&:0|~:1|⚔:0
20:17:51 |c|+Mistress Midnight|http://dragonheaven.psim.us/battle-gen7franticfusions-22269
20:18:03 |j|$TimeZone
20:18:22 |c|+Mistress Midnight|http://dragonheaven.psim.us/battle-gen7franticfusions-22269
20:18:24 |c|+Mistress Midnight|rip
20:19:17 |c|+Mistress Midnight|http://dragonheaven.psim.us/battle-gen7franticfusions-22270
20:19:17 |j| Mud($.$)Fan
20:19:43 |c| Mud($.$)Fan|Whats the name of the physical-special swap om I always wanted?
20:19:59 |c|+Mistress Midnight|?
20:20:04 |c|+Mistress Midnight|full potential?
20:20:08 |c|+Mistress Midnight|Offensification?
20:20:13 |c| Mud($.$)Fan|Not full potential
20:20:51 |c|$TimeZone|stat switch ?
20:21:26 |c|$TimeZone|Or is it specifically Atk and spatk swapping ?
20:21:33 |c|$TimeZone|If so, dunno
20:24:03 |c|+Mistress Midnight|rip me http://dragonheaven.psim.us/battle-gen7franticfusions-22271
20:26:35 |c|$TimeZone|Scoli looks nice tho
20:26:43 |c|+Mistress Midnight|its faster
20:26:47 |c|+Mistress Midnight|lol
20:27:03 |c|$TimeZone|eh, I like Blaziken stabs
20:27:16 |c|+Mistress Midnight|meh
20:27:18 |c|+Mistress Midnight|lol
20:28:28 |c|$TimeZone|it can even for mix
20:28:29 |c|$TimeZone|;)
20:28:33 |c|$TimeZone|Special dance
20:29:03 |c|+Mistress Midnight|Oh yes
20:29:06 |c|+Mistress Midnight|I found an okay thing
20:29:08 |c|$TimeZone|Not talking about quiver dance o; thou it can use it
20:29:29 |c|$TimeZone|hm?
20:30:29 |c|+Mistress Midnight|meh http://dragonheaven.psim.us/battle-gen7franticfusions-22272
20:32:58 |c|+Mistress Midnight|http://dragonheaven.psim.us/battle-gen7franticfusions-22273
20:33:57 |l| Mud($.$)Fan
20:36:20 |c|$TimeZone|Bruh lmao
20:36:27 |c|+Mistress Midnight|that is my fusino
20:36:31 |c|+Mistress Midnight|After caps were baned
20:36:42 |c|$TimeZone|I must have accidently typed recover in twice.
20:36:43 |c|$TimeZone|But
20:36:44 |c|+Mistress Midnight|The cap fusion was much better than what yuou saw
20:36:55 |c|$TimeZone|It let have TWO recover moves
20:37:00 |c|$TimeZone|oh
20:37:16 |c|$TimeZone|Omg
20:37:23 |c|$TimeZone|Caps were allowed ??
20:37:30 |c|+Mistress Midnight|yes
20:37:35 |c|+Mistress Midnight|So when aps were allowed
20:37:39 |c|+Mistress Midnight|I used to do this
20:37:42 |c|+Mistress Midnight|Brace yourself
20:38:12 |c|$TimeZone|!Fuse Aurumoth
20:38:12 |html|<div class="message-error">Error: Pokemon not found</div>
20:38:13 |c|+Mistress Midnight|Aurumoth xurkitree fusion with no guard and beast boost quiver dance zap cannon ice beam and psychic 
20:38:17 |c|$TimeZone|I meant data
20:38:18 |c|$TimeZone|lol
20:38:23 |c|$TimeZone|!Data Aurumoth
20:38:23 |c|~|/data-pokemon Aurumoth

20:38:28 |c|$TimeZone|this was broke AF I bet
20:38:33 |c|+Mistress Midnight|uh huh
20:38:49 |c|$TimeZone|no guard AND illusion 
20:38:52 |c|$TimeZone|*,*
20:39:03 |c|$TimeZone|Nice xurkitree too
20:39:29 |c|$TimeZone|!Fuse Aurumoth, Xurkitree 
20:39:29 |html|<div class="infobox"><b>Stats</b>: 96/104/85/145/65/88<br /><b>BST</b>:583<br /><b>Type:</b> Bug/Electric<br /><b>Abilities</b>: Weak Armor/No Guard/Illusion + Beast Boost<br /><b>Weight</b>: 146.5 kg</div>
20:39:39 |c|$TimeZone|sheesh lol
20:39:49 |n| Entity: Unknown|mistressmidnight
20:39:50 |c|$TimeZone|dash?
20:39:53 |c|$TimeZone|Sash?*
20:39:54 |j|#Snaquaza
20:39:55 |n| Entity:unknown|entityunknown
20:39:58 |j| TheNameNotTaken
20:40:11 |c| Entity:unknown|@
20:40:18 |c| Entity:unknown|Timezone
20:40:20 |c|$TimeZone|Ello 
20:40:23 |c| Entity:unknown|Do you want to battle
20:40:27 |c|$TimeZone|Hai snaquaza 
20:40:30 |c|$TimeZone|meta?
20:40:32 |c| Entity:unknown|ff
20:40:35 |c| Entity:unknown|or ff ubers
20:40:36 |c|$TimeZone|sure
20:40:41 |c|$TimeZone|regular is fine
20:40:47 |c| Entity:unknown|okay
20:40:49 |c| Entity:unknown|Brace yourself
20:40:57 |n| Primal Savage|entityunknown
20:41:16 |c|$TimeZone|We'll see
20:41:20 |c|$TimeZone|I sent challenge 
20:41:43 |c|$TimeZone|O.o he's gone ?
20:41:43 |c| TheNameNotTaken|what is this site 0-0
20:42:03 |n| KisstheFLoor|primalsavage
20:42:05 |c|$TimeZone|or....
20:42:08 |c|$TimeZone|hmm
20:42:13 |n| Primal Savage|kissthefloor
20:42:24 |c|#Snaquaza|TheNameNotTaken, this site is awesome ;)
20:42:45 |c|$TimeZone|Mistress is trolling me x, x
20:42:50 |c|$TimeZone|Lmao
20:42:52 |c|$TimeZone|Nice try 
20:43:24 |j| Ludicrousity
20:44:46 |c|#Snaquaza|don't troll mistress smh
20:49:14 |c| Primal Savage|Not the real things
20:49:14 |c|$TimeZone|>not trying 
20:49:26 |c| Primal Savage|My hand is even asleep
20:49:28 |c|$TimeZone|>built an entire team before 
20:49:30 |c|$TimeZone|Lol
20:49:32 |c| Primal Savage|?
20:49:38 |c|$TimeZone|You're cheap and bored ;p
20:49:46 |c| Primal Savage|I could hoestly do better
20:49:49 |c| Primal Savage|I just did __enough__
20:49:53 |c|$TimeZone|With the glitches 
20:49:54 |c|$TimeZone|Yea
20:50:02 |c| Primal Savage|They are so easy to abuse
20:50:20 |c|$TimeZone|so ye
20:50:22 |c|$TimeZone|Cheap
20:50:25 |c|$TimeZone|;p
20:50:53 |c|$TimeZone|!Fuse Aurumoth, Pheromosa
20:50:53 |html|<div class="infobox"><b>Stats</b>: 90/128/68/127/48/122<br /><b>BST</b>:583<br /><b>Type:</b> Bug<br /><b>Abilities</b>: Weak Armor/No Guard/Illusion + Beast Boost<br /><b>Weight</b>: 109 kg</div>
20:51:00 |c| Primal Savage|SO BORED http://dragonheaven.psim.us/battle-gen7franticfusions-22276
20:51:03 |c|$TimeZone|unban caps please ?
20:51:10 |c|$TimeZone|o;
20:51:37 |c| Primal Savage|Im honesly suing TAILWINd
20:52:06 |c|$TimeZone|Z-Tailwind?
20:52:09 |c| Primal Savage|no
20:52:17 |c|$TimeZone|o;
20:52:41 |c| Primal Savage|Ok im either goig to analyze
20:52:43 |c| Primal Savage|Or do something else
20:52:51 |c| Primal Savage|And im getting off this alt
20:52:58 |c| Primal Savage|It gives me very bad memories
20:53:03 |c| Primal Savage|__Very bad...__
20:53:11 |c|$TimeZone|Omo
20:53:11 |n| Wolf Savage|primalsavage
20:53:18 |c| Wolf Savage|Ok thats better
20:53:22 |c| Wolf Savage|Ok no its not..
20:53:27 |n| Kunaial|wolfsavage
20:53:37 |c| Kunaial|oka
20:53:40 |c| Kunaial|meh
20:53:43 |n| Kunaru|kunaial
20:53:46 |c| Kunaru|o
20:53:56 |n| KisstheFloor|kunaru
20:53:58 |c| KisstheFloor|R
20:54:06 |c|$TimeZone|Rigged
20:54:09 |c|$TimeZone|;p
20:54:16 |n| Power⚛️Source|kissthefloor
20:54:19 |c| Power⚛️Source|what is rigged?
20:54:27 |c| Power⚛️Source|Personally this alt just appareance wis is cool
20:54:44 |c|$TimeZone|You just confirmed it
20:54:51 |c| Power⚛️Source|what do you mean
20:54:51 |c|$TimeZone|Illuminati is real
20:54:53 |c|$TimeZone|;p
20:55:00 |n| Illuminatum|powersource
20:55:05 |c| Illuminatum|It really is...
20:55:21 |c| Illuminatum|Illuminati was taken surprinsgly
20:55:34 |c|$TimeZone|it "R"igged everything 
20:55:35 |n| Infinite ☯️ Matter|illuminatum
20:55:44 |c| Infinite ☯️ Matter|well i still like this
20:55:46 |c|$TimeZone|That's a big "R" you said revealed 
20:55:47 |c|$TimeZone|ty
20:56:01 |c|$TimeZone|Omo
20:56:10 |n| Galactic Enforcer|infinitematter
20:56:20 |c| Galactic Enforcer|Rip
20:56:43 |c| Galactic Enforcer|Ugh fine
20:56:48 |c|$TimeZone|Do you also have over 7000+ alts..
20:56:49 |n| Forsaken Shadow|galacticenforcer
20:56:52 |c| Forsaken Shadow|I honestly do
20:56:59 |c| Forsaken Shadow|not 7000
20:57:01 |c|$TimeZone|sheesh
20:57:01 |c| Forsaken Shadow|Definitely
20:57:02 |c|$TimeZone|lol
20:57:04 |c| Forsaken Shadow|70
20:57:05 |c| Forsaken Shadow|200
20:57:08 |c| Forsaken Shadow|550
20:57:16 |c|$TimeZone|o rly
20:57:18 |c|$TimeZone|;(
20:57:28 |n| Spirit of Twilight|forsakenshadow
20:57:31 |c| Spirit of Twilight|The Spirit
20:57:39 |c| Spirit of Twilight|OMG
20:57:44 |c| Spirit of Twilight|I forgot about some other alts
20:57:49 |c|$TimeZone|o;
20:57:54 |n| The Snow Maiden|spiritoftwilight
20:57:54 |c|$TimeZone|I would imagine 
20:58:02 |c| The Snow Maiden|Snow falls
20:58:07 |c| The Snow Maiden|In yo face1
20:58:10 |raw|<div class='chat'><small> </small><button name='parseCommand' value='/user The Snow Maiden' style='background:none;border:0;padding:0 5px 0 0;font-family:Verdana,Helvetica,Arial,sans-serif;font-size:9pt;cursor:pointer'><b><font color='#4D79A8'>The Snow Maiden:</font></b></button><em class='mine'><img src="https://cdn.betterttv.net/emote/554da1a289d53f2d12781907/2x" title="(ditto)" width="50" height="50" /></em></div>
20:58:12 |c| The Snow Maiden|feelgood
20:58:14 |c|$TimeZone|lol
20:58:16 |c| The Snow Maiden|feellsswag
20:58:35 |n| Shadow Kon|thesnowmaiden
20:58:36 |c| Shadow Kon|oh well
20:58:38 |c| Shadow Kon|I remember this
20:58:43 |c| Shadow Kon|It was the first of some
20:58:48 |c| Shadow Kon|Possibly my first ever account
20:58:50 |c| Shadow Kon|__Possibly__
20:58:53 |c| Shadow Kon|__Possibly...__
20:59:04 |c| Shadow Kon|Draagon King
20:59:15 |c|$TimeZone|Omo
20:59:15 |n| Draagon King|shadowkon
20:59:17 |c| Draagon King|omo
20:59:28 |n| Psyonic Envoy|draagonking
20:59:30 |c| Psyonic Envoy|or this
20:59:32 |j| lukkixd
20:59:37 |n| Kilcode|psyonicenvoy
20:59:39 |c| Kilcode|or this
20:59:45 |n| Debby Downer|kilcode
20:59:46 |c| Debby Downer|or this
20:59:55 |n| Alolapex|debbydowner
20:59:56 |c| Alolapex|or this
21:00:02 |c|$TimeZone|!Fuse clefable, Registered
21:00:02 |html|<div class="message-error">Error: Pokemon not found</div>
21:00:08 |c|$TimeZone|really....
21:00:11 |n| Dr. Mimikyutioner|alolapex
21:00:12 |c| Dr. Mimikyutioner|huh
21:00:14 |c|$TimeZone|Auto correction...
21:00:17 |c| Dr. Mimikyutioner|lol
21:00:30 |c|$TimeZone|!Fuse clefable, registeel
21:00:30 |html|<div class="infobox"><b>Stats</b>: 87/72/111/85/120/55<br /><b>BST</b>:530<br /><b>Type:</b> Fairy/Steel<br /><b>Abilities</b>: Cute Charm/Magic Guard/Unaware + Clear Body<br /><b>Weight</b>: 122.5 kg</div>
21:00:39 |c|$TimeZone|Hmm
21:00:52 |n| Omegafury|drmimikyutioner
21:00:55 |n| Omega Fury|omegafury
21:00:55 |c|$TimeZone|Might stick with mag
21:00:57 |c| Omega Fury|ijiphpigwrhiobg
21:00:59 |c|$TimeZone|;/
21:01:13 |n| Ash is Ashes|omegafury
21:01:17 |c| Ash is Ashes|lol forgot about thsi one
21:01:24 |c|$TimeZone|lol
21:01:38 |n| The Void Shadow|ashisashes
21:01:38 |c| The Void Shadow|ok
21:01:42 |c| The Void Shadow|Im going to say an alt name
21:01:43 |c|$TimeZone|OK
21:01:45 |c|$TimeZone|Question 
21:01:47 |c|$TimeZone|I bet 
21:01:47 |c| The Void Shadow|And you tell me which ones you like
21:01:49 |c| The Void Shadow|Okay?
21:02:01 |c|$TimeZone|You don't have passwords for all Dem alts
21:02:04 |c|$TimeZone|;p
21:02:04 |c| The Void Shadow|i do
21:02:08 |c|$TimeZone|naw
21:02:15 |c| The Void Shadow|Why wouldnt i
21:02:22 |c|$TimeZone|Could be
21:02:24 |n| Alolapex|thevoidshadow
21:02:26 |c|$TimeZone|Feeling trolly one day
21:02:39 |c| Alolapex|Just tell me which one soudnds better
21:02:42 |c| Alolapex|k?
21:02:48 |c|$TimeZone|maybe o;
21:02:54 |c| Alolapex|Im just going to say period with the alt
21:03:00 |c| Alolapex|Then you say yes or no or meh
21:03:04 |c| Alolapex|.
21:03:12 |c|$TimeZone|Lmao
21:03:13 |c|$TimeZone|no
21:03:16 |l| Ludicrousity
21:03:18 |c|$TimeZone|But wait 
21:03:25 |n| Dragonic Elder|alolapex
21:03:27 |c| Dragonic Elder|.
21:03:29 |c|$TimeZone|Dr. Mimikyutioner
21:03:30 |c|$TimeZone|No
21:03:42 |n| Dr. Mimikyutioner|dragonicelder
21:03:44 |c| Dr. Mimikyutioner|.
21:03:44 |c|$TimeZone|That name made me giggle a little ;/
21:03:45 |c| Dr. Mimikyutioner|me
21:03:47 |c| Dr. Mimikyutioner|?
21:03:48 |c|$TimeZone|I kinda like
21:03:55 |c| Dr. Mimikyutioner|I will execute your face
21:03:59 |c|$TimeZone|o;
21:04:01 |c| Dr. Mimikyutioner|Hack at it
21:04:03 |c| Dr. Mimikyutioner|With a chainsaw
21:04:12 |c| Dr. Mimikyutioner|With another chainsaw taped to that one
21:04:16 |c| Dr. Mimikyutioner|ZMZMZMZ
21:04:23 |j| Dragonstuff
21:04:24 |c| Dr. Mimikyutioner|That was just me turning it on
21:04:31 |c|$TimeZone|Well
21:04:32 |c| Dr. Mimikyutioner|ZMZMZMMSAOMOMOMom 
21:04:36 |c|$TimeZone|Least you're expressive 
21:04:38 |c| Dr. Mimikyutioner|That was me cutting your lawn
21:04:40 |c|$TimeZone|;p
21:04:45 |c| Dr. Mimikyutioner|SPLARGH
21:04:49 |c| Dr. Mimikyutioner|I cut you eye
21:04:53 |c| Dr. Mimikyutioner|Out of your head
21:04:59 |c| Dr. Mimikyutioner|And carved you like a pumpkin
21:05:03 |c| Dr. Mimikyutioner|Of course i had to take the insides out
21:05:07 |l| Dragonstuff
21:05:13 |c|$TimeZone|Bet that part was fun
21:05:16 |c| Dr. Mimikyutioner|So i gave the insides as a birthday present to charity
21:05:35 |c|$TimeZone|that's wrong o;
21:05:35 |n| Rawryness😘|drmimikyutioner
21:05:38 |c| Rawryness😘|.
21:05:41 |c|$TimeZone|You can get sued for that 
21:05:45 |c|$TimeZone|lol
21:05:48 |c| Rawryness😘|RAWR!
21:05:48 |c|*OutrageousBoT|RAWR!
21:05:49 |c| Rawryness😘|Rawr!
21:05:49 |c|*OutrageousBoT|RAWR!
21:05:49 |c| Rawryness😘|Rawr!
21:05:50 |c|*OutrageousBoT|RAWR!
21:05:50 |c| Rawryness😘|Rawr!
21:05:51 |c| Rawryness😘|Rawr!
21:06:04 |n| Power⚛️Source|rawryness
21:06:05 |c| Power⚛️Source|let me check
21:06:08 |c| Power⚛️Source|rawr!
21:06:08 |c|*OutrageousBoT|RAWR!
21:06:09 |c| Power⚛️Source|Rawr!
21:06:09 |c|*OutrageousBoT|RAWR!
21:06:09 |c| Power⚛️Source|Rawr!
21:06:10 |c|*OutrageousBoT|RAWR!
21:06:10 |c| Power⚛️Source|Rawr!
21:07:17 |l|~Ransei
21:07:17 |j| TheKarl715
21:07:42 |n| Galactic Enforcer|powersource
21:07:58 |n|+Mistress Midnight|galacticenforcer
21:08:04 |c|+Mistress Midnight|ill play later
21:08:08 |c|+Mistress Midnight|Im so bored now okay?
21:08:34 |c|$TimeZone|o;
21:08:38 |c| shwb|.
21:09:00 |c|+Mistress Midnight|Mistress
21:09:02 |c|+Mistress Midnight|OUT!
21:09:09 |c|$TimeZone|!Fuse Arceus-Fairy Magearna, Shiny
21:09:09 |html|<div class="message-error">Error: Pokemon not found</div>
21:09:15 |c|$TimeZone|fml
21:09:25 |c|+Mistress Midnight|!Fuse Arceus-Fairy, Magearna, Shiny
21:09:25 |html|<div class="infobox"><b>Stats</b>: 100/107/117/125/117/92<br /><b>BST</b>:658<br /><b>Type:</b> Fairy<br /><b>Abilities</b>: Multitype + Soul-Heart<br /><b>Weight</b>: 200.25 kg</div>
21:09:32 |c|+Mistress Midnight|!Fuse Arceus-Fairy, Magearna
21:09:32 |html|<div class="infobox"><b>Stats</b>: 100/107/117/125/117/92<br /><b>BST</b>:658<br /><b>Type:</b> Fairy/Steel<br /><b>Abilities</b>: Multitype + Soul-Heart<br /><b>Weight</b>: 200.25 kg</div>
21:09:39 |c|+Mistress Midnight|how about this
21:09:51 |c|$TimeZone|I like the pure typing better personally 
21:09:54 |c|$TimeZone|dunno why
21:09:58 |c|$TimeZone|unless it's water ;/
21:11:29 |c|+Mistress Midnight|!fuse dragonite, araquanid, ninjask, mothim, porygon-z, deoxys-attack, blissey, kartana, gyarados, groudon, zekrom, darmanitan, landorus-therian 
21:11:30 |html|<div class="infobox"><b>Stats</b>: 79/102/93/75/116/61<br /><b>BST</b>:526<br /><b>Type:</b> Dragon/Water<br /><b>Abilities</b>: Inner Focus/Multiscale + Water Bubble<br /><b>Weight</b>: 146 kg</div>
21:11:50 |c|+Mistress Midnight|!fuse dragonite, araquanid
21:11:50 |html|<div class="infobox"><b>Stats</b>: 79/102/93/75/116/61<br /><b>BST</b>:526<br /><b>Type:</b> Dragon/Water<br /><b>Abilities</b>: Inner Focus/Multiscale + Water Bubble<br /><b>Weight</b>: 146 kg</div>
21:11:54 |c|+Mistress Midnight|ive done that before
21:12:01 |c|$TimeZone|first fused poke tbh
21:12:04 |c|$TimeZone|;/
21:12:04 |c|+Mistress Midnight|slow tho
21:12:17 |c|$TimeZone|thought it was so op and shit
21:12:19 |c|$TimeZone|lol
21:12:22 |c|+Mistress Midnight|what
21:12:26 |c|+Mistress Midnight|lol
21:12:29 |c|$TimeZone|first time playing fuse 
21:12:32 |c|+Mistress Midnight|uh huh
21:12:46 |c|+Mistress Midnight|!fuse missingno, marshasdow
21:12:46 |html|<div class="message-error">Error: Pokemon not found</div>
21:12:49 |c|+Mistress Midnight|!fuse missingno, marshadow
21:12:49 |html|<div class="infobox"><b>Stats</b>: 61/130/40/48/48/77<br /><b>BST</b>:404<br /><b>Type:</b> Bird/Fighting<br /><b>Abilities</b>:  + Technician<br /><b>Weight</b>: 806.5 kg</div>
21:13:20 |c|+Mistress Midnight|!fuse missingno, arcanine
21:13:20 |html|<div class="infobox"><b>Stats</b>: 61/123/40/53/43/62<br /><b>BST</b>:382<br /><b>Type:</b> Bird/Fire<br /><b>Abilities</b>:  + Intimidate<br /><b>Weight</b>: 872.9 kg</div>
21:14:51 |l| TheKarl715
21:14:53 |j| TheKarl715
21:14:59 |l| TheKarl715
21:15:18 |c|+Mistress Midnight|!fuse arcanine, pheromosa
21:15:18 |html|<div class="infobox"><b>Stats</b>: 80/123/58/118/58/123<br /><b>BST</b>:560<br /><b>Type:</b> Fire/Bug<br /><b>Abilities</b>: Intimidate/Flash Fire/Justified + Beast Boost<br /><b>Weight</b>: 90 kg</div>
21:15:32 |c|+Mistress Midnight|meh
21:16:12 |c|$TimeZone|Inti might help....
21:16:18 |c|$TimeZone|Hardly....
21:16:48 |c|$TimeZone|!Fuse Ninjask, Pheromosa, shiny 
21:16:48 |html|<div class="infobox"><b>Stats</b>: 66/113/41/93/43/155<br /><b>BST</b>:511<br /><b>Type:</b> Bug/Fighting<br /><b>Abilities</b>: Speed Boost/Infiltrator + Beast Boost<br /><b>Weight</b>: 18.5 kg</div>
21:17:06 |c|$TimeZone|You can bluff speed buff shiiitt lmao
21:17:11 |c|+Mistress Midnight|lol
21:17:13 |c|+Mistress Midnight|nice job
21:17:14 |c|$TimeZone|speed boost*
21:17:16 |c|+Mistress Midnight|how aboutthis
21:17:42 |userstats|total:16|guests:3| :9|+:1|$:1|%:1|@:1|*:2|★:0|#:1|&:0|~:0|⚔:0
21:17:42 |c|+Mistress Midnight|!fuse deoxys-speed, ninjask
21:17:42 |html|<div class="infobox"><b>Stats</b>: 55/92/67/72/70/170<br /><b>BST</b>:526<br /><b>Type:</b> Psychic/Bug<br /><b>Abilities</b>: Pressure + Speed Boost<br /><b>Weight</b>: 36.4 kg</div>
21:17:44 |c|+Mistress Midnight|with choice scarf
21:17:56 |c|$TimeZone|Why the scarf tho o;
21:18:18 |c|+Mistress Midnight|you said you wanted speed...
21:18:21 |c|+Mistress Midnight|with tailiwind
21:18:22 |c|+Mistress Midnight|lol
21:18:25 |c|$TimeZone|nah
21:18:29 |c|$TimeZone|Was just looking
21:18:41 |c|$TimeZone|Wait 
21:18:50 |c|$TimeZone|With tailwind Omo
21:19:14 |c|$TimeZone|Maximum speed I see
21:19:14 |c|+Mistress Midnight|me
21:19:34 |c|+Mistress Midnight|!fuse regigigas, ninjask
21:19:34 |html|<div class="infobox"><b>Stats</b>: 85/125/77/65/80/130<br /><b>BST</b>:562<br /><b>Type:</b> Normal/Bug<br /><b>Abilities</b>: Slow Start + Speed Boost<br /><b>Weight</b>: 216 kg</div>
21:19:54 |c|$TimeZone|Won't be slow for too long....
21:19:58 |l|%Zygardeorder
21:20:15 |c|$TimeZone|!Learn Ninjask, Roost
21:20:15 |html|<div class="infobox">In Gen 7, Ninjask <span class="message-learn-canlearn">can</span> learn Roost from:<ul class="message-learn-list"><li>anywhere (all moves are level-up/tutor/TM/HM in gen 7)</ul></div>
21:25:17 |l|$TimeZone
21:26:25 |j| BigDave
21:31:16 |c|+Mistress Midnight|!fuse kartana, rampardos
21:31:16 |html|<div class="infobox"><b>Stats</b>: 78/173/95/62/40/83<br /><b>BST</b>:531<br /><b>Type:</b> Grass/Rock<br /><b>Abilities</b>: Beast Boost + Mold Breaker<br /><b>Weight</b>: 51.3 kg</div>
21:33:03 |l| gslure
21:33:33 |j| tobias9825
21:33:53 |l| tobias9825
21:43:34 |c|+Mistress Midnight|!fuse shuckle, bibarel
21:43:34 |html|<div class="infobox"><b>Stats</b>: 49/47/145/32/145/38<br /><b>BST</b>:456<br /><b>Type:</b> Bug/Normal<br /><b>Abilities</b>: Sturdy/Gluttony/Contrary + Simple<br /><b>Weight</b>: 26 kg</div>
21:44:45 |l| shwb
21:47:06 |c|+Mistress Midnight|http://dragonheaven.psim.us/battle-gen7franticfusions-22280
21:55:07 |l|#Snaquaza
21:59:33 |j| Pika Xreme
22:01:54 |j|$TimeZone
22:02:55 |c|$TimeZone|scarf Kartana x Rampardos ?
22:03:08 |c|$TimeZone|or maybe Rock polish ;p
22:04:39 |l| BigDave
22:10:37 |c|+Mistress Midnight|huh
22:10:45 |c|+Mistress Midnight|im just doing a few stupid comos 
22:10:54 |c|+Mistress Midnight|!fuse froslass, xurkitree
